entropy_normalized,majority_margin
0.418165660077809,0.2
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.5904362833065449,0.4
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.418165660077809,0.2
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.6554587535394216,0.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.5904362833065449,0.4
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
0.418165660077809,0.2
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.8277293767681575,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.6554587535394216,0.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.8277293767681575,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.5904362833065449,0.4
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.6554587535394216,0.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.8277293767681575,0.2
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.3109175070813285,0.6
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.3109175070813285,0.6
0.418165660077809,0.2
0.418165660077809,0.2
0.3109175070813285,0.6
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.5904362833065449,0.4
0.3109175070813285,0.6
0.6554587535394216,0.0
0.6554587535394216,0.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.418165660077809,0.2
0.3109175070813285,0.6
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.3109175070813285,0.6
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.418165660077809,0.2
0.418165660077809,0.2
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.8277293767681575,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.3109175070813285,0.6
0.418165660077809,0.2
0.5904362833065449,0.4
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
0.418165660077809,0.2
0.418165660077809,0.2
0.3109175070813285,0.6
0.3109175070813285,0.6
0.5904362833065449,0.4
0.418165660077809,0.2
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.6554587535394216,0.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.8277293767681575,0.2
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.5904362833065449,0.4
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.3109175070813285,0.6
0.418165660077809,0.2
0.6554587535394216,0.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.5904362833065449,0.4
0.418165660077809,0.2
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.418165660077809,0.2
0.418165660077809,0.2
0.3109175070813285,0.6
0.8277293767681575,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.8277293767681575,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
0.418165660077809,0.2
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.6554587535394216,0.0
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.3109175070813285,0.6
0.5904362833065449,0.4
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.5904362833065449,0.4
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.8277293767681575,0.2
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.8277293767681575,0.2
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.3109175070813285,0.6
0.418165660077809,0.2
0.418165660077809,0.2
0.418165660077809,0.2
0.3109175070813285,0.6
0.418165660077809,0.2
0.3109175070813285,0.6
0.3109175070813285,0.6
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.6554587535394216,0.0
0.8277293767681575,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
0.5904362833065449,0.4
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.6554587535394216,0.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.8277293767681575,0.2
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
0.418165660077809,0.2
0.3109175070813285,0.6
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.6554587535394216,0.0
0.418165660077809,0.2
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.5904362833065449,0.4
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.6554587535394216,0.0
0.3109175070813285,0.6
0.418165660077809,0.2
0.5904362833065449,0.4
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.6554587535394216,0.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.3109175070813285,0.6
0.5904362833065449,0.4
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
0.418165660077809,0.2
0.6554587535394216,0.0
0.3109175070813285,0.6
-6.213901715968123e-13,1.0
-6.213901715968123e-13,1.0
0.418165660077809,0.2
-6.213901715968123e-13,1.0
0.5904362833065449,0.4
0.3109175070813285,0.6
