entropy_normalized,majority_margin
0.5303560860429778,0.4
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.27927991012754444,0.6
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.7435032788078781,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.27927991012754444,0.6
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
0.37561496314971926,0.2
0.7435032788078781,0.2
0.27927991012754444,0.6
0.7435032788078781,0.2
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.27927991012754444,0.6
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.27927991012754444,0.6
0.37561496314971926,0.2
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.5303560860429778,0.4
0.27927991012754444,0.6
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
0.37561496314971926,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.7435032788078781,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5303560860429778,0.4
0.27927991012754444,0.6
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.5303560860429778,0.4
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
0.37561496314971926,0.2
0.5303560860429778,0.4
0.5303560860429778,0.4
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5303560860429778,0.4
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.37561496314971926,0.2
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
0.27927991012754444,0.6
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.5887621559146196,0.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5303560860429778,0.4
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.7435032788078781,0.2
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.7435032788078781,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.7435032788078781,0.2
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.5303560860429778,0.4
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.37561496314971926,0.2
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
0.5887621559146196,0.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.5887621559146196,0.0
0.27927991012754444,0.6
0.5887621559146196,0.0
0.5303560860429778,0.4
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.37561496314971926,0.2
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.37561496314971926,0.2
0.5303560860429778,0.4
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
0.5887621559146196,0.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5887621559146196,0.0
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.7435032788078781,0.2
0.5887621559146196,0.0
0.37561496314971926,0.2
0.5887621559146196,0.0
0.5887621559146196,0.0
0.5887621559146196,0.0
0.27927991012754444,0.6
0.7435032788078781,0.2
0.5887621559146196,0.0
0.37561496314971926,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5887621559146196,0.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.7435032788078781,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.5887621559146196,0.0
0.37561496314971926,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
0.37561496314971926,0.2
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.5887621559146196,0.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.5303560860429778,0.4
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.5887621559146196,0.0
0.7435032788078781,0.2
0.27927991012754444,0.6
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.5303560860429778,0.4
0.27927991012754444,0.6
0.7435032788078781,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5887621559146196,0.0
0.37561496314971926,0.2
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.7435032788078781,0.2
0.7435032788078781,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.7435032788078781,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
0.37561496314971926,0.2
0.5887621559146196,0.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.8982444017011366,0.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.27927991012754444,0.6
0.5887621559146196,0.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.5303560860429778,0.4
0.37561496314971926,0.2
0.5303560860429778,0.4
0.5303560860429778,0.4
0.37561496314971926,0.2
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5303560860429778,0.4
0.5303560860429778,0.4
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.7435032788078781,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.7435032788078781,0.2
-5.581602429106793e-13,1.0
0.7435032788078781,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5887621559146196,0.0
0.27927991012754444,0.6
0.27927991012754444,0.6
0.7435032788078781,0.2
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.7435032788078781,0.2
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.27927991012754444,0.6
0.27927991012754444,0.6
0.5303560860429778,0.4
0.5303560860429778,0.4
0.37561496314971926,0.2
0.27927991012754444,0.6
0.27927991012754444,0.6
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.7435032788078781,0.2
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.7435032788078781,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.5887621559146196,0.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5887621559146196,0.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
0.27927991012754444,0.6
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.37561496314971926,0.2
0.27927991012754444,0.6
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5303560860429778,0.4
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.7435032788078781,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.7435032788078781,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.5887621559146196,0.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.8982444017011366,0.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
0.5303560860429778,0.4
0.7435032788078781,0.2
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
0.5887621559146196,0.0
0.5303560860429778,0.4
0.5303560860429778,0.4
0.5887621559146196,0.0
0.27927991012754444,0.6
0.27927991012754444,0.6
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.37561496314971926,0.2
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
0.7435032788078781,0.2
0.5303560860429778,0.4
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
0.5887621559146196,0.0
0.27927991012754444,0.6
0.5303560860429778,0.4
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.27927991012754444,0.6
-5.581602429106793e-13,1.0
-5.581602429106793e-13,1.0
0.37561496314971926,0.2
0.7435032788078781,0.2
0.5887621559146196,0.0
-5.581602429106793e-13,1.0
